1444111644,2015-10-06 06:07:24,19.00,20.09,3909.85,596
1444112316,2015-10-06 06:18:36,19.00,20.06,3912.49,596
1444112987,2015-10-06 06:29:47,19.25,20.14,3906.61,596
1444113659,2015-10-06 06:40:59,19.25,20.14,3905.50,596
1444114330,2015-10-06 06:52:10,19.25,20.06,3909.40,596
1444115002,2015-10-06 07:03:22,19.25,20.06,3909.27,596
1444115673,2015-10-06 07:14:33,19.25,20.14,3907.00,596
1444116345,2015-10-06 07:25:45,19.25,20.07,3905.96,596
1444117016,2015-10-06 07:36:56,19.25,20.14,3902.19,596
1444117688,2015-10-06 07:48:08,19.25,20.14,3903.89,596
1444118359,2015-10-06 07:59:19,19.25,20.14,3904.46,596
1444119031,2015-10-06 08:10:31,19.50,20.14,3903.73,596
1444119702,2015-10-06 08:21:42,19.50,20.14,3903.66,596
1444120374,2015-10-06 08:32:54,20.25,20.32,3888.28,596
1444121046,2015-10-06 08:44:06,21.25,20.40,3866.46,596
1444121718,2015-10-06 08:55:18,22.00,20.49,3864.62,595
1444122391,2015-10-06 09:06:31,22.25,20.49,3865.43,596
1444123063,2015-10-06 09:17:43,22.25,20.47,3864.16,596
1444123735,2015-10-06 09:28:55,20.25,20.32,3884.13,596
1444124407,2015-10-06 09:40:07,20.00,20.32,3891.43,596
1444125079,2015-10-06 09:51:19,20.00,20.32,3892.59,595
1444125750,2015-10-06 10:02:30,20.50,20.40,3893.45,596
1444126422,2015-10-06 10:13:42,20.25,20.40,3896.22,595
1444127094,2015-10-06 10:24:54,20.25,20.40,3895.57,596
1444127766,2015-10-06 10:36:06,20.25,20.49,3899.08,596
1444128438,2015-10-06 10:47:18,20.75,20.49,3915.37,596
1444129110,2015-10-06 10:58:30,21.25,20.58,3916.07,595
1444129782,2015-10-06 11:09:42,21.00,20.58,3923.56,595
1444130453,2015-10-06 11:20:53,20.75,20.14,3937.50,595
1444131125,2015-10-06 11:32:05,20.75,20.58,3929.08,595
1444131797,2015-10-06 11:43:17,21.00,20.75,3927.93,595
1444132469,2015-10-06 11:54:29,21.75,20.84,3899.37,596
1444133142,2015-10-06 12:05:42,22.00,20.92,3896.39,596
1444133814,2015-10-06 12:16:54,22.25,21.10,3903.50,595
1444134486,2015-10-06 12:28:06,22.50,21.10,3898.68,595
1444135159,2015-10-06 12:39:19,22.50,21.01,3898.49,595
1444135831,2015-10-06 12:50:31,22.50,21.01,3897.81,596
1444136503,2015-10-06 13:01:43,22.75,21.10,3917.80,596
1444137176,2015-10-06 13:12:56,22.75,21.18,3918.81,595
1444137848,2015-10-06 13:24:08,22.50,21.18,3919.39,595
1444138521,2015-10-06 13:35:21,22.25,21.13,3914.78,595
1444139193,2015-10-06 13:46:33,22.00,21.10,3918.34,596
1444139865,2015-10-06 13:57:45,21.75,21.10,3921.85,595
1444140537,2015-10-06 14:08:57,21.75,21.10,3920.37,596
1444141209,2015-10-06 14:20:09,21.50,21.01,3916.14,595
1444141882,2015-10-06 14:31:22,21.50,21.01,3913.14,595
1444142554,2015-10-06 14:42:34,21.50,21.10,3921.64,595
1444143226,2015-10-06 14:53:46,21.50,21.08,3919.32,595
1444143898,2015-10-06 15:04:58,21.50,21.10,3928.72,595
1444144570,2015-10-06 15:16:10,21.25,21.01,3922.99,595
1444145242,2015-10-06 15:27:22,21.00,21.01,3916.80,595
1444145914,2015-10-06 15:38:34,21.00,20.94,3903.65,595
